T,P,h,V,is_starred
47.0,3.8232,0.0,0.0164874,false
47.0,4.0832,30.9,0.0150683,false
47.0,4.3433,68.0,0.0133644,false
47.0,4.6033,84.0,0.0126296,false
47.0,4.8632,107.0,0.0115733,false
47.0,5.1233,126.0,0.0107007,false
47.0,5.3833,142.0,0.0099659,false
47.0,5.6433,161.0,0.0090933,false
47.0,5.9032,173.0,0.0085422,false
47.0,6.1633,187.0,0.0078993,false
47.0,6.4233,198.0,0.0073941,false
47.0,6.6833,207.0,0.0069807,false
47.0,6.9432,219.0,0.0064296,false
47.0,7.2033,226.0,0.0061081,false
47.0,7.4633,235.0,0.0056948,false
47.0,7.7233,243.0,0.0053274,false
47.0,7.9832,249.0,0.0050519,false
47.0,8.2432,257.0,0.0046844,false
47.0,8.5032,262.5,0.0044319,false
47.0,8.7632,269.0,0.0041333,false
47.0,9.0132,274.0,0.0039037,false
